id,place_name,category_name,category_group_code,category_group_name,phone,address_name,road_address_name,x,y,place_url,distance,wheelchair,animal,keyword,evalnum,rate
1911167929,흥국생명빌딩 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 남대문로4가 17-12,서울 중구 세종대로 50,126.97621375509009,37.56089608165125,http://place.map.kakao.com/1911167929,,unknown,unknown,,0,0
1733804757,코트야드바이메리어트 서울남대문 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 남대문로4가 17-23,서울 중구 남대문로 9,126.976924453506,37.5611620167407,http://place.map.kakao.com/1733804757,,unknown,unknown,,0,0
2039936370,상동빌딩 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 남창동 1-2,서울 중구 남대문로 30,126.979047839056,37.5608362518183,http://place.map.kakao.com/2039936370,,unknown,unknown,,0,0
26864735,SC제일은행 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 충무로1가 53-1,,126.98047166236049,37.56083649590528,http://place.map.kakao.com/26864735,,unknown,unknown,,0,0
26597891,밀리오레 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 충무로1가 24-31,서울 중구 퇴계로 109,126.984507658866,37.5611073935169,http://place.map.kakao.com/26597891,,unknown,unknown,,0,0
26597971,신일빌딩 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,02-778-6770,서울 중구 충무로2가 65-6,서울 중구 퇴계로 127,126.985902043776,37.5611940639397,http://place.map.kakao.com/26597971,,unknown,unknown,,0,0
20516020,명동밀레오레 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 충무로2가 62-12,서울 중구 퇴계로 137,126.986839156264,37.5613923914024,http://place.map.kakao.com/20516020,,unknown,unknown,,0,0
26879231,호텔스카이파크 명동3호점 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 충무로2가 62-10,서울 중구 퇴계로 139,126.98722174060666,37.56122845202211,http://place.map.kakao.com/26879231,,unknown,unknown,,0,0
25624454,세종호텔 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 충무로2가 61-3,서울 중구 퇴계로 145,126.98797097293873,37.561434858987376,http://place.map.kakao.com/25624454,,unknown,unknown,,1,5.0
26535699,성창빌딩 주차장,"교통,수송 > 교통시설 > 주차장",PK6,주차장,,서울 중구 충무로2가 60-3,서울 중구 삼일대로 299,126.988333709876,37.561382531569535,http://place.map.kakao.com/26535699,,unknown,unknown,,0,0
